Species,Households,Milk,Fuel,Firtilizer,Hides
Capra hircus,216,219,19,202,4
Bos dometicus,197,200,188,195,0
Ovis aeries,42,23,4,39
Bubalus bubalis,36,35,32,36
Camelus dromedarius,6,2,1,5
Equus assinus,3,0,0,3
Gallus gallus domesticus,3,0,0,0
Equus equus,1,0,0,1
